addressID,postalCode,streetName,city,country
1,875130,Anthes,Jisegumen,CN
2,130889,Rowland,Huanggong,CN
3,838163,Ridgeview,Pukou,CN
4,044075,Menomonie,Xinxing,CN
5,236863,Troy,Carodok,ID
6,290932,Summerview,Jalatrang,ID
7,780717,Glendale,Gelan,CN
8,930515,Anhalt,Datuan,CN
9,463211,Westport,Yamoussoukro,CI
10,733175,Ludington,Zhangdan,CN
11,620037,Jay,Rozvadov,UA
12,847314,Vera,Beauvais,FR
13,394063,Buell,Werinama,ID
14,120773,Ridge Oak,Heerlen,NL
15,473141,Northport,Smolenka,RU
16,669325,Corscot,Sayapullo,PE
17,573724,Clemons,Karangpocok,ID
18,440357,Fieldstone,Ciodeng,ID
19,939535,Morrow,Soledade,BR
20,113200,Waywood,Lingbei,CN
21,787128,Tomscot,Novovorontsovka,UA
22,633195,Dixon,Pensacola,US
23,136666,Coleman,Quitilipi,AR
24,581787,Westridge,Ćićevac,RS
25,996782,Fordem,Henglishan,CN
26,606083,Coolidge,Songmuping,CN
27,518582,Jenifer,Shaozhai,CN
28,897472,Towne,Laguna Paiva,AR
29,167842,Melody,Sātkhira,BD
30,561189,Clove,Pagsañgahan,PH
31,846281,Weeping Birch,Bagusan,ID
32,024217,Daystar,Bodĭ,MN
33,165796,Lindbergh,Tiegai,CN
34,578947,Shasta,Imatra,FI
35,459843,Butterfield,Pedregulho,BR
36,928491,Anniversary,Drumcondra,IE
37,763585,Summer Ridge,Bayt ‘Anān,PS
38,603934,Arkansas,Vatutine,UA
39,204513,Lien,Shiniujiang,CN
40,400409,Kedzie,Sanlifan,CN
41,351751,Anhalt,Cancela,PT
42,223032,Warner,Dagu,CN
43,917539,Rieder,Eqlīd,IR
44,569666,Ryan,Falënki,RU
45,848787,West,La Victoria,CO
46,962734,Clarendon,Cheongsong gun,KR
47,096447,Spaight,Youcheng,CN
48,442249,Canary,‘Amd,YE
49,200404,Shoshone,Persen,ID
50,682782,Onsgard,Kota Kinabalu,MY
51,301216,Mifflin,Marxog,CN
52,468358,Marquette,Pszczyna,PL
53,122505,Monument,Penambangan,ID
54,502539,Forest Dale,Zambrów,PL
55,845157,Melvin,HanHuang,CN
56,442658,Veith,Laoqiao,CN
57,924098,1st,Maracanã,BR
58,852445,Moland,Birao,CF
59,330391,Kings,Ganping,CN
60,095756,Dwight,Kostomuksha,RU
61,766012,Buena Vista,Lampa,ID
62,159060,Lunder,Lokokrangan,ID
63,215796,Dennis,Jelisavac,HR
64,674428,Anzinger,Itaparica,BR
65,838831,Fieldstone,Vale da Pedra,PT
66,096981,Loftsgordon,Bilhorod-Dnistrovs’kyy,UA
67,780606,Pine View,Tejakalapa,ID
68,122458,Barnett,Bunia,CD
69,688015,Lukken,Iñapari,PE
70,704690,Comanche,Calvaria de Baixo,PT
71,011616,Norway Maple,Arrufó,AR
72,065490,Loftsgordon,Shatki,RU
73,349659,Vera,Sison,PH
74,500172,Meadow Vale,Bherāmāra,BD
75,373913,Barnett,Miskindzha,RU
76,996267,Blaine,Daliuhang,CN
77,014139,Eastwood,Lawrenceville,US
78,033636,Walton,Yongfa,CN
79,006684,Randy,Rio Real,BR
80,976009,Artisan,Saḩab,YE
81,327913,Ridgeway,Jiepai,CN
82,389282,Granby,Gejiu,CN
83,799506,Laurel,Huangbei,CN
84,724709,Oak,Cuauhtemoc,MX
